ID,College Year,Student Loans,In/Out of State,STEM Major,Lives in Dorm,Foreign Student
81,Sophomore,Yes,In-State,No,No,No
82,Sophomore,No,In-State,No,Yes,No
83,Sophomore,Yes,In-State,No,Yes,No
84,Sophomore,Yes,In-State,Yes,Yes,No
85,Freshman,Yes,In-State,No,Yes,No
86,Freshman,Yes,Out-of-State,Yes,No,No
87,Sophomore,Yes,In-State,No,No,No
88,Junior,No,In-State,No,No,No
89,Freshman,Yes,In-State,No,No,No
90,Senior,No,In-State,No,No,Yes
91,Senior,No,In-State,Yes,Yes,No
92,Graduate,Yes,Out-of-State,Yes,No,No
93,Freshman,No,Out-of-State,No,Yes,No
94,Senior,Yes,In-State,Yes,Yes,No
95,Senior,No,In-State,No,No,No
96,Senior,Yes,Out-of-State,No,Yes,No
97,Junior,Yes,In-State,No,Yes,No
98,Senior,Yes,Out-of-State,Yes,Yes,No
99,Sophomore,Yes,Out-of-State,Yes,Yes,No
100,Sophomore,No,Out-of-State,Yes,Yes,No
101,Freshman,No,In-State,No,No,No
102,Junior,No,In-State,Yes,No,No
103,Junior,Yes,In-State,Yes,No,No
104,Senior,Yes,In-State,Yes,Yes,Yes
105,Junior,No,In-State,Yes,Yes,No
106,Graduate,Yes,In-State,Yes,Yes,No
107,Freshman,Yes,In-State,Yes,No,No
108,Senior,Yes,Out-of-State,No,No,No
109,Sophomore,Yes,In-State,Yes,No,No
110,Senior,Yes,In-State,No,Yes,No
111,Junior,Yes,Out-of-State,Yes,No,No
112,Senior,Yes,In-State,No,Yes,No
113,Graduate,Yes,In-State,No,No,No
114,Freshman,Yes,In-State,Yes,Yes,Yes
115,Freshman,Yes,In-State,Yes,Yes,No
116,Senior,Yes,In-State,No,No,No
117,Junior,No,In-State,No,No,No
118,Senior,Yes,In-State,Yes,No,No
119,Sophomore,Yes,In-State,No,No,No
120,Junior,Yes,In-State,Yes,Yes,No
121,Freshman,No,Out-of-State,No,No,No
122,Senior,Yes,In-State,No,Yes,No
123,Graduate,Yes,In-State,No,Yes,Yes
124,Sophomore,Yes,In-State,No,Yes,No
125,Sophomore,No,Out-of-State,No,Yes,No
126,Sophomore,No,In-State,No,No,No
127,Junior,Yes,In-State,Yes,No,No
128,Senior,Yes,In-State,No,Yes,No
129,Freshman,No,In-State,Yes,Yes,No
130,Junior,Yes,Out-of-State,No,Yes,Yes
131,Senior,Yes,Out-of-State,No,Yes,No
132,Graduate,Yes,In-State,Yes,No,No
133,Graduate,No,In-State,No,Yes,No
134,Junior,No,In-State,Yes,No,No
135,Junior,Yes,In-State,Yes,No,No
136,Sophomore,Yes,In-State,No,No,No
137,Senior,Yes,Out-of-State,No,No,No
138,Junior,No,Out-of-State,No,Yes,No
139,Junior,No,Out-of-State,Yes,Yes,No
140,Senior,Yes,In-State,Yes,Yes,No
141,Sophomore,No,In-State,No,No,No
142,Sophomore,Yes,Out-of-State,No,No,Yes
143,Freshman,Yes,Out-of-State,No,No,No
144,Freshman,Yes,Out-of-State,Yes,No,No
145,Freshman,No,In-State,Yes,Yes,No
146,Junior,No,In-State,Yes,No,No
147,Freshman,No,In-State,No,Yes,No
148,Freshman,No,Out-of-State,No,Yes,No
149,Sophomore,Yes,In-State,Yes,Yes,No
150,Freshman,Yes,In-State,Yes,No,No
