Technology,Traditional,Self-Paced,Project-Based
89,55,60,34
51,61,61,41
82,56,61,35
60,67,62,48
86,58,61,38
42,66,61,47
67,59,64,39
71,59,62,39
93,59,61,39
29,62,62,42
71,58,61,38
73,66,62,47
72,69,61,51
80,58,63,37
43,61,61,41
80,59,65,39
79,66,61,47
46,53,61,32
29,61,61,42
83,56,61,36
24,51,62,29
44,64,61,44
17,58,60,38
56,53,63,32
84,66,61,47
51,63,61,43
79,65,61,46
38,54,62,32
92,64,62,45
54,63,61,44
73,59,61,39
36,58,61,38
22,55,61,34
70,62,61,43
61,60,61,40
60,55,61,34
19,56,61,36
58,58,62,38
77,55,60,34
71,63,63,44
17,62,62,42
38,63,60,44
87,55,61,35
23,56,63,36
66,57,61,36
47,57,61,37
34,57,60,36
90,57,61,37
95,68,61,50
21,59,64,39
61,59,61,39
89,58,61,37
22,60,61,40
73,63,62,43
97,67,60,49
40,64,62,45
81,61,60,42
73,56,61,35
50,61,62,41
60,61,61,42
32,56,61,35
79,59,63,38
66,62,61,43
33,69,63,51
44,63,61,43
69,57,61,36
53,67,61,48
32,58,64,38
19,62,67,42
31,62,61,42
62,58,61,38
94,51,60,30
96,58,61,38
22,56,61,35
18,62,61,42
37,56,63,35
79,59,65,39
29,54,61,33
99,58,61,37
84,60,61,40
66,67,63,48
30,64,62,45
28,57,61,37
43,63,61,44
63,63,61,43
56,55,61,34
77,54,62,33
73,51,61,29
54,57,61,36
26,60,62,39
50,60,63,40
56,55,62,34
45,68,63,50
29,62,66,43
99,63,61,44
47,59,63,38
86,57,61,37
20,56,61,35
25,55,61,34
69,65,63,45
62,63,62,44
90,59,61,39
30,58,61,37
52,64,62,45
73,61,61,42
46,51,62,30
34,58,61,38
22,62,61,42
63,69,62,51
99,62,62,42
62,57,61,36
17,51,61,30
45,55,61,34
92,68,61,50
37,54,61,33
40,55,61,34
65,53,61,32
35,63,61,44
91,69,63,50
17,56,63,35
98,60,61,40
89,58,61,38
26,54,63,33
85,57,61,36
88,54,62,32
35,61,62,41
98,70,69,52
45,59,61,39
25,62,67,42
36,61,62,41
94,65,60,46
54,54,61,33
48,61,61,41
63,63,61,43
29,57,62,37
51,65,61,46
17,55,60,34
19,62,61,42
71,62,61,42
60,60,60,40
20,62,62,42
64,56,61,35
82,66,61,47
80,64,63,44
29,57,61,36
32,66,62,47
87,57,61,36
51,65,61,46
36,57,61,36
88,61,62,41
58,66,61,48
96,60,61,40
43,60,61,40
30,67,62,49
30,65,61,46
39,64,61,44
83,57,61,37
52,60,62,40
74,60,62,40
62,60,61,40
21,58,60,38
32,59,63,38
100,56,61,35
88,62,62,42
55,57,62,36
68,52,62,30
65,57,61,37
52,57,61,37
70,60,61,41
35,60,62,40
84,63,61,44
66,61,62,41
91,64,61,44
69,66,62,48
61,60,63,40
26,65,61,46
46,60,67,40
70,54,61,33
69,59,61,39
94,59,61,39
83,59,61,39
75,68,61,49
27,58,61,37
51,59,61,39
48,64,61,44
57,67,62,49
48,54,61,33
69,56,61,35
88,53,63,31
27,65,62,46
36,54,61,33
31,64,61,45
97,64,62,45
66,58,61,37
28,60,62,40
62,61,62,42
88,58,63,37
89,59,64,39
98,65,61,46
43,59,61,39
23,58,61,37
35,63,61,43
48,57,61,36
45,65,62,45
41,65,61,45
78,60,61,40
74,62,61,43
94,62,61,43
69,60,64,40
57,67,61,48
22,62,61,42
62,62,60,42
64,61,61,42
61,57,61,36
85,59,61,39
72,65,61,46
88,61,61,41
52,61,61,41
88,60,62,40
76,57,61,36
47,64,61,45
73,57,61,37
76,59,61,39
36,63,62,44
50,57,62,36
82,61,61,41
98,63,61,44
86,60,64,40
72,63,63,43
58,53,62,31
45,62,61,43
34,56,63,35
79,56,61,35
55,60,61,40
45,55,61,34
90,57,60,36
29,59,61,39
50,57,61,36
19,69,61,51
88,60,61,40
17,56,61,36
73,57,61,37
48,61,60,41
66,62,63,43
18,64,61,45
62,57,60,36
21,60,61,40
35,59,62,39
41,57,63,37
82,61,66,41
90,57,61,37
48,61,61,41
35,64,64,45
38,71,61,53
32,58,61,38
61,60,61,40
48,57,61,36
82,51,61,30
81,56,60,35
59,65,61,46
31,60,62,40
32,71,62,53
35,60,61,40
64,60,61,41
91,57,61,37
64,61,62,41
89,63,62,43
44,51,61,29
96,65,61,46
25,64,61,45
53,61,63,41
44,54,62,33
96,57,61,36
84,57,61,37
55,57,62,36
92,59,61,39
78,63,61,43
46,58,61,37
89,60,61,39
96,60,61,40
31,65,61,46
58,65,64,46
17,52,61,30
65,62,60,42
99,56,61,36
21,55,61,34
78,60,61,40
73,59,61,38
34,67,60,48
39,55,61,34
65,58,61,38
97,57,62,36
81,64,62,44
17,58,61,38
68,60,61,41
24,63,61,44
67,63,61,43
45,62,61,43
45,56,61,36
93,58,62,37
77,62,62,42
32,57,61,37
72,50,61,28
68,57,62,36
30,55,61,34
30,49,61,27
99,67,61,48
90,69,60,50
44,62,62,43
99,63,62,43
77,64,60,45
97,60,61,41
81,61,63,41
78,61,62,41
19,59,60,39
38,58,62,37
79,56,61,36
29,55,70,34
48,51,61,30
18,62,62,43
69,63,61,44
69,58,64,37
32,61,63,41
24,58,62,38
91,61,62,41
55,59,63,39
98,56,61,35
88,59,61,39
92,60,64,40
80,57,61,37
54,69,61,51
88,66,61,47
32,64,61,44
96,59,60,38
60,66,61,47
80,57,61,36
84,60,62,40
74,55,60,33
44,50,61,29
54,62,61,42
70,62,61,42
90,56,61,36
67,60,61,41
74,57,61,36
36,56,61,36
81,58,62,37
98,62,60,42
53,63,61,43
38,61,61,41
60,65,61,46
30,64,61,45
84,69,62,50
72,62,63,42
91,63,61,44
24,52,61,30
48,62,60,43
26,52,61,31
54,55,62,33
38,67,61,49
28,59,61,39
64,57,61,36
96,64,61,44
20,62,62,42
53,55,61,34
71,62,63,42
64,62,61,42
81,54,64,33
65,57,60,36
46,65,61,46
16,57,61,37
71,57,61,37
25,63,61,84
60,57,61,77
95,63,61,79
97,64,61,78
89,60,61,80
65,60,61,79
23,60,61,76
21,60,62,82
30,56,61,81
93,60,61,84
24,58,61,74
24,64,62,87
15,61,62,84
77,60,61,77
79,60,60,89
64,57,61,78
86,64,61,80
31,56,61,71
41,62,61,74
96,70,61,78
68,65,73,75
44,61,61,77
35,61,66,83
39,59,61,83
16,66,62,84
16,53,62,88
33,56,61,78
30,57,61,71
78,57,61,75
72,61,61,86
50,58,61,73
83,60,63,83
91,61,61,78
100,62,60,79
52,64,61,77
77,58,61,79
59,58,61,79
74,62,61,90
45,58,64,77
82,65,61,78
65,59,60,79
70,64,61,78
77,56,61,87
31,51,62,70
48,57,60,79
66,65,61,83
65,59,61,75
63,59,60,83
15,66,61,78
88,65,79,72
83,62,61,86
96,55,61,77
31,64,64,74
78,57,62,72
22,65,61,78
55,57,62,79
96,65,61,78
82,61,62,83
92,54,61,81
55,66,61,67
70,76,62,80
94,63,61,75
88,59,61,76
45,61,63,83
47,63,60,83
27,57,61,79
25,63,61,70
44,68,61,76
97,55,62,74
38,64,69,79
46,58,61,78
90,62,68,75
84,55,60,86
18,56,62,71
28,62,60,85
49,60,62,86
61,66,66,75
50,69,65,76
54,57,61,75
83,62,61,77
99,56,64,85
21,66,61,79
23,59,61,88
73,64,62,76
20,65,69,76
31,60,61,79
28,61,63,84
33,58,61,80
73,53,61,77
24,58,86,82
70,60,62,86
47,59,61,76
62,58,60,82
75,63,61,81
99,65,61,79
72,62,61,77
74,64,61,75
32,58,62,84
23,56,61,79
74,56,62,76
84,57,60,81
94,65,61,81
25,47,61,82
38,58,61,75
20,69,61,79
36,55,61,77
21,61,61,84
75,54,61,79
88,59,63,81
72,63,62,79
22,61,65,76
78,69,62,85
53,53,64,75
87,55,62,82
84,65,62,87
19,61,61,87
80,54,61,79
96,53,61,88
39,49,61,74
44,60,62,76
72,51,61,84
75,61,61,79
41,64,60,83
66,63,61,76
56,63,63,77
93,56,61,88
25,62,61,82
83,58,64,78
58,69,60,78
57,62,62,77
97,63,60,72
32,57,62,79
98,57,61,81
25,56,63,77
81,65,61,90
29,60,60,82
65,54,63,82
23,55,61,71
22,63,61,83
21,62,62,87
58,57,61,73
33,62,61,85
88,62,61,81
62,58,61,83
64,61,61,74
40,54,61,87
98,67,61,78
51,63,61,74
24,61,61,71
29,68,61,75
55,57,61,84
91,60,61,74
54,57,62,81
94,54,62,71
75,61,61,83
88,60,61,77
36,55,63,82
88,59,61,87
32,62,61,83
62,64,61,88
18,72,61,82
54,64,61,84
73,56,62,84
75,59,66,82
73,67,62,69
27,67,61,85
73,59,61,83
98,62,61,72
73,60,62,73
98,51,61,74
77,62,60,81
50,58,61,74
54,63,61,81
36,64,60,75
86,62,62,88
29,56,60,78
25,59,61,87
73,60,61,79
16,61,61,79
74,57,64,79
32,59,61,82
84,62,61,78
90,57,61,87
29,58,62,91
66,56,61,77
78,73,61,81
67,56,61,79
83,60,65,87
56,64,63,72
30,58,61,82
93,53,61,76
54,61,62,69
21,58,61,84
68,58,62,78
72,63,61,72
66,61,61,87
51,61,61,83
29,62,61,86
44,60,62,72
46,65,61,85
73,58,61,84
91,64,61,79
53,61,61,78
70,60,60,74
56,57,62,83
45,59,61,80
81,55,60,74
34,55,63,76
46,54,61,78
44,59,61,74
85,57,62,84
32,63,62,82
54,61,61,84
79,59,61,75
88,62,61,76
72,63,61,76
75,53,62,77
75,59,61,76
70,61,61,77
23,52,61,90
66,55,67,79
87,58,61,79
65,65,63,77
83,54,61,80
92,60,60,83
72,61,61,89
80,61,64,85
76,56,62,82
16,55,61,75
33,62,62,81
51,61,61,82
34,68,61,75
98,68,67,78
55,64,60,83
68,64,60,91
75,49,61,83
28,64,61,76
55,58,63,88
21,56,61,78
25,59,61,82
29,62,62,82
78,64,61,78
72,60,61,70
81,54,61,78
63,61,61,75
73,69,61,82
93,62,61,75
30,53,61,79
54,62,66,73
99,63,61,77
52,55,62,80
49,59,60,88
84,59,65,85
36,58,61,77
31,60,61,84
63,51,64,83
49,64,66,74
45,56,62,73
33,56,66,69
47,61,61,76
62,54,63,79
31,58,62,80
82,65,62,74
72,65,61,90
16,61,61,83
95,61,61,84
60,55,63,78
53,61,62,77
85,59,61,75
89,59,61,74
84,63,62,85
97,56,61,84
90,62,60,79
53,66,61,77
39,66,61,85
80,56,64,82
61,58,61,70
30,58,61,78
79,53,61,82
73,62,63,91
62,61,63,82
47,62,60,76
53,65,62,70
44,57,61,74
27,57,63,90
23,59,60,73
50,56,61,74
57,54,61,72
99,65,61,84
61,64,63,90
72,56,61,75
50,61,62,80
52,59,61,78
86,56,61,73
54,53,61,76
21,67,61,72
37,60,63,81
27,59,61,92
50,58,63,79
80,64,60,82
71,63,61,81
33,58,60,86
78,55,61,73
68,65,60,81
54,63,62,83
28,60,61,77
81,58,65,86
96,63,61,74
72,62,63,82
70,59,61,82
33,62,63,80
50,64,61,82
79,61,62,75
38,51,62,87
25,60,63,84
60,70,61,76
48,60,62,87
55,64,60,76
63,57,62,86
20,64,61,76
66,55,61,81
34,62,62,88
37,60,61,80
25,65,61,80
47,60,61,89
79,64,62,86
68,64,63,84
16,60,61,77
37,66,60,80
58,59,61,80
48,59,61,80
58,60,62,78
68,67,60,78
58,59,61,75
40,63,61,82
73,58,61,76
48,61,62,70
68,56,61,77
77,57,61,77
70,56,61,81
63,59,62,80
49,51,62,84
43,57,62,81
84,53,66,84
87,61,63,88
72,63,61,80
84,57,60,86
63,64,61,80
29,55,62,73
84,56,60,79
74,64,70,79
56,63,61,79
78,63,61,89
57,57,62,77
55,57,61,79
37,58,68,84
44,60,63,89
50,60,61,73
71,61,61,75
42,64,61,71
64,62,60,86
25,53,64,73
59,53,61,85
59,58,61,85
54,64,61,77
25,60,65,80
63,54,61,82
55,61,61,77
72,58,61,79
80,57,60,86
24,55,61,79
66,57,61,77
22,64,61,83
64,62,61,76
42,61,66,85
64,66,61,85
75,55,63,80
31,61,61,83
82,57,61,83
18,60,62,80
88,59,61,88
92,49,61,82
54,44,61,82
73,59,61,82
55,58,61,76
61,60,62,79
38,60,62,86
26,55,61,81
69,62,61,81
26,59,61,80
23,58,63,76
21,57,62,85
87,68,60,77
69,61,61,79
83,64,61,84
67,61,61,76
77,67,61,81
81,62,61,84
43,53,61,80
19,59,60,83
92,63,62,71
65,59,61,83
42,65,60,75
23,58,61,75
53,57,61,80
29,61,62,74
60,56,61,76
71,64,63,79
33,64,63,76
19,69,61,91
36,69,62,80
58,54,62,76
74,53,61,77
94,57,60,81
34,56,62,83
45,53,60,85
47,57,63,76
74,61,62,80
100,59,62,79
55,58,60,77
86,67,61,81
23,59,61,77
69,59,61,81
62,60,60,85
77,60,70,93
42,67,63,78
25,57,64,80
68,67,62,76
81,64,61,70
63,61,63,75
16,55,60,86
32,55,61,80
31,58,62,93
32,57,61,80
29,52,61,81
89,59,61,77
26,65,61,81
19,58,61,83
61,58,61,69
33,66,61,86
41,59,60,85
21,58,61,81
40,60,64,73
60,63,61,76
70,63,61,77
47,60,61,76
16,58,63,79
91,63,64,83
67,60,61,77
46,63,62,79
53,61,62,80
58,64,62,86
86,64,61,86
45,57,61,70
30,60,62,82
40,61,61,76
96,54,64,74
21,67,64,80
41,51,61,78
43,62,60,88
78,54,60,74
94,58,61,78
77,60,61,76
53,63,62,84
31,55,63,78
86,62,61,81
93,65,61,84
27,62,61,83
91,56,61,83
95,64,61,76
18,67,62,77
68,56,61,82
100,49,61,77
74,55,61,68
97,64,61,76
70,60,61,74
59,61,61,67
27,59,62,88
60,62,63,90
54,61,61,83
88,56,64,83
22,61,62,85
84,60,61,81
98,61,61,81
84,54,64,81
84,55,63,79
81,61,63,77
21,54,62,76
38,62,61,74
47,55,62,70
24,61,64,83
59,67,61,84
64,62,61,77
73,62,61,81
39,64,60,78
21,51,60,81
27,64,63,79
86,58,61,75
33,62,62,79
69,58,61,80
87,60,61,77
51,62,62,91
94,57,62,87
60,59,62,84
41,59,61,78
99,61,61,87
34,60,62,76
46,68,60,80
91,61,61,73
53,60,61,69
26,66,61,82
92,58,62,82
45,62,62,76
57,53,60,81
77,59,61,76
21,54,61,76
35,60,61,77
34,60,60,82
70,65,61,83
89,57,61,81
58,60,61,86
45,67,61,85
32,61,64,90
95,61,61,82
15,53,71,84
99,56,62,70
25,62,62,83
19,59,62,71
81,56,61,73
68,56,62,89
29,60,62,79
61,56,61,76
45,58,60,84
96,60,61,82
39,60,61,74
84,57,60,82
43,64,61,82
