Chlboo,Classize,class_size,scoremath,scorereading
150,,21,49.941,74.355
300,,19,55.407,52.994
25,,,29.478,31.478
50,18,,19.658,33.368
50,,,38.806,77.492
100,22,,32.434,34.705
,,19,33.75,49.088
40,29,,24.074,30.898
10,,16,39.879,44.594
50,,,30.05,35.927
75,21,,32.097,35.227
40,21,,26.786,28.946
100,,25,56.119,83.045
200,,17,50.969,62.361
100,14,,14.276,21.518
30,21,,20.068,16.584
50,,27,40.321,47.449
100,,22,38.122,47.532
100,20,,36.073,59.278
13,25,,21.245,25.855
50,,23,40.508,68.162
150,24,,21.898,30.135
3,17,,,
25,,12,51.864,57.182
,,,20.579,30.769
50,18,,37.506,38.378
100,,23,51.342,73.975
100,17,,31.218,37.144
50,23,,21.57,28.727
150,,22,48.301,61.31
100,,20,50.857,60.902
12,,,26.596,29.562
,26,,22.666,24.804
,26,,,
100,21,,21.992,27.173
20,,12,40.093,41.998
115,20,,47.968,44.449
100,,30,40.549,47.863
200,,20,42.101,61.409
50,,20,38.184,62.263
26,24,,29.846,36.184
20,29,,19.167,.a
,20,,22.743,54.494
10,23,,14.363,11.647
15,,16,40.942,45.764
10,,12,43.399,67.951
20,24,,23.924,28.599
,,,19.006,20.197
6,,20,40.844,25.6
125,18,,24.393,26.158
100,29,,34.357,32.916
4,,18,53.962,49.859
,,,,
60,,16,40.793,49.576
50,21,,33.455,36.689
10,21,,31.377,33.29
40,21,,,
,,19,41.305,70.071
100,,24,31.162,32.792
70,30,,24.492,26.687
38,30,,21.366,30.223
300,,23,48.736,65.721
40,,20,55.477,66.485
20,,20,52.241,41.795
40,19,,25.063,40.274
,,,,
15,,12,15.69,21.022
,,,38.493,54.565
100,,17,43.729,53.193
200,,12,27.365,37.122
100,22,,20.419,31.299
200,,35,35.643,64.418
10,,,29.715,28.562
,,28,46.614,70.072
100,,23,47.401,63.355
100,10,,20.769,23.682
,,16,57.189,77.719
20,21,,13.665,19.291
45,25,,11.813,19.028
5,30,,22.786,22.344
50,,20,30.208,43.979
100,11,,26.085,30.241
200,18,,22.869,26.946
40,13,,33.996,32.78
60,21,,33.864,30.886
,,25,38.273,62.306
50,13,,32.506,37.1
50,,,48.577,50.474
100,26,,41.149,35.952
50,,20,,
,20,,33.471,50.99
100,,17,51.34,52.759
15,30,,20.199,21.906
100,16,,39.718,63.451
40,,,37.516,39.955
100,,22,34.519,65.247
100,21,,23.459,32.827
10,,30,41.412,40.592
50,,,48.314,59.008
200,22,,34.147,40.374
200,23,,28.495,31.539
30,18,,13.309,23.246
100,,20,56.737,74.229
70,,14,37.764,54.422
6,,,19.292,26.895
25,25,,16.327,26.388
100,20,,30.616,35.948
,,19,47.229,70.414
150,24,,28.703,33.846
50,16,,25.134,31.816
50,,19,44.402,54.283
,,17,44.038,51.503
50,,23,40.909,38.64
,20,,,
100,,19,37.455,45.978
,,,31.752,35.08
20,26,,31.558,40.402
,,20,41.896,36.334
15,12,,22.193,23.325
60,17,,31.326,37.216
20,24,,23.142,22.044
10,,,40.515,47.503
25,29,,41.696,36.562
200,13,,22.508,24.798
75,24,,42.015,45.28
3,18,,16.62,20.842
20,17,,17.975,26.059
100,,20,53.149,73.308
100,19,,29.758,33.259
35,13,,30.374,18.127
60,,,32.634,24.562
50,20,,21.34,26.282
80,20,,27.543,48.385
20,20,,31.343,33.296
150,,23,48.332,48.71
20,28,,28.479,26.804
10,,,30.1,38.408
100,,17,33.508,56.945
,,,32.456,31.04
200,,,,
,,14,44.472,56.184
,,,,
,,15,30.885,42.21
35,21,,28.729,29.569
50,23,,22.025,20.397
25,,21,46.66,
1500,,24,52.901,74.307
50,19,,30.491,28.474
30,15,,22.49,34.252
150,,,41.032,43.647
,30,,31.072,34.11
100,,21,54.192,67.208
3,19,,23.228,.a
100,,21,38.723,45.504
,,,,
50,,31,34.831,62.588
100,,19,53.581,57.803
120,,13,34.167,43.323
200,,20,43.14,68.315
100,19,,51.483,53.059
100,11,,13.143,19.087
,,,20.692,.a
25,19,,19.234,40.621
25,22,,29.638,33.286
100,12,,24.931,28.46
30,,24,31.808,29.203
25,20,,33.47,45.958
,,19,35.431,39.689
30,,26,37.246,49.443
100,23,,28.714,31.507
30,26,,19.324,26.012
80,,15,48.986,60.623
50,,22,45.07,63.606
200,,20,44.638,49.894
13,28,,22.626,27.57
4,,,35.219,48.936
75,20,,20.925,34.058
50,23,,42.228,34.386
50,,26,33.804,43.872
100,,23,38.196,49.099
100,,28,51.652,69.838
200,22,,35.235,58.133
25,,20,32.002,39.784
12,23,,34.486,58.62
40,10,,15.014,23.883
20,,,37.415,68.124
150,,19,32.316,46.596
50,,30,45.861,50.706
50,,17,33.701,53.712
100,,21,48.586,70.265
20,,23,29.783,39.501
50,20,,,
,,,31.222,29.855
,,,22.7,21.238
,,34,33.738,
75,,19,46.45,51.45
10,19,,30.998,28.786
25,,20,25.403,50.871
40,,,31.141,40.873
100,,,,
100,,15,58.582,77.025
100,,,31.194,34.48
50,10,,52.104,65.728
100,22,,45.755,56.44
6,10,,,
200,15,,23.415,30.458
15,20,,,
50,,,,
100,12,,25.23,17.648
20,19,,13.902,24.205
,,,44.582,36.683
30,27,,29.624,30.712
10,,20,32.481,31.648
100,27,,46.454,44.876
,,,27.833,46.831
10,19,,24.226,21.55
50,,14,42.92,48.066
,,21,52.713,61.015
30,,21,47.429,55.45
,,,38.589,47.813
,,,43.255,31.026
,27,,25.444,28.503
200,21,,32.339,33.692
70,22,,29.828,34.244
75,26,,53.467,42.272
120,,,35.549,36.773
100,,20,31.866,28.54
100,,21,55.509,80.454
100,,30,47.427,66.252
30,21,,,
,,,34.295,34.481
50,,15,53.25,60.827
200,21,,23.421,31.149
100,26,,22.079,30.102
,27,,21.944,27.097
100,15,,17.988,23.097
100,20,,35.854,30.95
25,25,,32.128,36.304
35,18,,36.027,31.914
10,23,,23.648,26.503
6,,17,51.55,67.707
30,,30,43.174,59.378
400,,23,44.593,54.649
20,25,,18.069,13.813
200,,26,40.298,64.72
100,15,,21.131,33.812
50,21,,21.104,23.964
100,,25,37.17,61.711
30,19,,18.227,21.635
400,,,,
50,24,,26.31,33.801
75,,16,28.491,32.176
80,,29,46.734,79.171
2,20,,26.116,41.743
20,16,,22.055,20.53
100,22,,42.854,44.114
20,,24,51.178,58.469
55,,,35.862,35.787
.d,21,,37.669,45.877
60,,21,51.344,76.253
100,10,,30.827,33.195
16,17,,18.659,19.541
25,23,,14.186,19.617
100,22,,38.881,28.924
200,,25,40.599,59.141
200,,25,50.103,57.817
50,13,,40.631,35.729
100,,25,39.358,59.219
100,17,,14.862,19.588
200,,19,40.33,46.65
60,15,,43.974,45.265
12,,,34.456,29.658
200,20,,18.245,21.443
60,20,,24.906,37.735
75,19,,40.52,37.261
200,,20,46.515,56.963
,,,,
75,23,,25.119,32.502
