ID,Grade,Loan,Resident,STEM,Dorm,Foreign,GPA,HomeD,JobHrs,Books
39,Freshman,No,In-State,Yes,No,No,2.45,92,0,526.32
40,Freshman,Yes,Out-of-State,Yes,No,No,3.14,7,14.4,151.75
41,Sophomore,Yes,In-State,No,Yes,No,3.38,290,14.3,477.03
42,Freshman,Yes,In-State,Yes,Yes,No,3.13,55,24.8,539.11
43,Freshman,Yes,Out-of-State,No,Yes,No,3,790,22.6,242.78
44,Sophomore,No,Out-of-State,No,Yes,No,2.91,862,22.5,580.99
45,Senior,No,In-State,No,No,Yes,2.38,690,26.4,460.40
46,Senior,Yes,In-State,No,Yes,Yes,2.73,129,0,372.91
47,Freshman,Yes,In-State,No,No,No,2.84,5,21.5,512.46
48,Junior,Yes,In-State,No,No,Yes,3.53,738,0,746.09
49,Sophomore,Yes,In-State,No,No,No,3.2,157,0,464.64
50,Senior,Yes,In-State,Yes,Yes,No,2.26,952,15,445.07
51,Graduate,Yes,Out-of-State,No,Yes,No,3.2,928,0,381.28
52,Sophomore,No,Out-of-State,No,No,No,2.88,537,0,320.92
53,Freshman,Yes,Out-of-State,No,Yes,No,2.75,98,0,535.44
54,Freshman,No,Out-of-State,No,No,No,3.33,136,32.7,333.61
55,Freshman,No,In-State,No,No,No,3.51,533,8,459.60
56,Senior,Yes,Out-of-State,Yes,No,No,3.47,107,6.3,387.00
57,Freshman,No,In-State,Yes,No,No,2.67,52,25.3,487.37
58,Freshman,Yes,In-State,No,No,No,2.91,228,22.3,475.68
59,Junior,Yes,Out-of-State,No,No,Yes,3.2,770,0,575.88
60,Graduate,Yes,Out-of-State,Yes,Yes,No,3.49,333,21,383.40
61,Senior,Yes,In-State,No,Yes,No,2.83,236,15.9,394.82
62,Sophomore,No,In-State,No,Yes,No,2.97,29,0,306.86
63,Senior,No,In-State,Yes,No,No,2.55,267,16.6,363.74
64,Sophomore,No,Out-of-State,Yes,Yes,No,2.51,1291,10.6,469.35
65,Sophomore,Yes,In-State,Yes,No,No,3.42,42,0,546.01
66,Graduate,Yes,In-State,No,Yes,No,3.66,205,14.8,334.92
67,Sophomore,Yes,In-State,No,Yes,No,3.02,588,9.4,548.65
68,Junior,No,Out-of-State,Yes,Yes,No,3.5,378,13.4,626.23
69,Junior,Yes,Out-of-State,No,No,No,3.21,334,19.3,495.05
70,Freshman,Yes,In-State,No,No,Yes,2.76,339,11.5,671.78
71,Sophomore,Yes,In-State,No,Yes,No,3.21,125,9.4,340.71
72,Junior,Yes,Out-of-State,No,Yes,No,3.74,97,17.9,295.39
73,Freshman,No,In-State,Yes,Yes,No,3.03,464,18,204.67
74,Sophomore,No,In-State,No,No,No,3.75,465,11.9,651.99
75,Graduate,Yes,Out-of-State,No,No,No,1.87,565,12.2,486.17
76,Graduate,No,In-State,Yes,Yes,No,3.42,684,17.9,440.37
77,Senior,Yes,In-State,Yes,Yes,No,3.09,201,0,474.10
78,Sophomore,Yes,In-State,Yes,Yes,No,2.92,195,4.7,286.29
79,Senior,Yes,In-State,No,Yes,No,3.09,448,10.3,755.65
80,Sophomore,No,In-State,No,No,No,2.16,294,14.3,426.60
81,Sophomore,Yes,In-State,No,No,No,2.95,339,18.5,447.72
82,Sophomore,No,In-State,No,Yes,No,3.21,445,27.8,535.65
83,Sophomore,Yes,In-State,No,Yes,No,3.72,618,0,519.13
84,Sophomore,Yes,In-State,Yes,Yes,No,2.82,115,14.7,458.70
85,Freshman,Yes,In-State,No,Yes,No,2.69,132,15.8,322.94
86,Freshman,Yes,Out-of-State,Yes,No,No,2.82,28,8,490.89
87,Sophomore,Yes,In-State,No,No,No,3.46,242,15.9,693.46
88,Junior,No,In-State,No,No,No,3.2,10,13.7,615.90
89,Freshman,Yes,In-State,No,No,No,2.81,175,0,636.41
90,Senior,No,In-State,No,No,Yes,3.28,219,9.4,376.94
91,Senior,No,In-State,Yes,Yes,No,3.09,95,20.2,309.05
92,Graduate,Yes,Out-of-State,Yes,No,No,3.49,250,28.3,433.35
93,Freshman,No,Out-of-State,No,Yes,No,2.73,9,0,434.14
94,Senior,Yes,In-State,Yes,Yes,No,2.9,11,19.2,574.24
95,Senior,No,In-State,No,No,No,2.87,484,21.5,211.08
96,Senior,Yes,Out-of-State,No,Yes,No,2.39,125,12.8,615.54
97,Junior,Yes,In-State,No,Yes,No,3.18,38,17.8,419.86
98,Senior,Yes,Out-of-State,Yes,Yes,No,3.17,207,16.1,384.61
99,Sophomore,Yes,Out-of-State,Yes,Yes,No,3.05,412,0,304.93
100,Sophomore,No,Out-of-State,Yes,Yes,No,2.94,68,9.8,218.07
101,Freshman,No,In-State,No,No,No,2.41,273,16.2,524.31
102,Junior,No,In-State,Yes,No,No,2.86,25,20,440.33
103,Junior,Yes,In-State,Yes,No,No,2.9,15,27.6,264.31
104,Senior,Yes,In-State,Yes,Yes,Yes,2.69,212,0,257.34
105,Junior,No,In-State,Yes,Yes,No,2.98,218,33.2,390.75
106,Graduate,Yes,In-State,Yes,Yes,No,3.23,284,9.9,658.87
107,Freshman,Yes,In-State,Yes,No,No,3.9,363,23,428.25
108,Senior,Yes,Out-of-State,No,No,No,3.13,1043,17.5,243.49
109,Sophomore,Yes,In-State,Yes,No,No,3.17,203,33.5,408.15
110,Senior,Yes,In-State,No,Yes,No,3.02,109,9.5,400.15
111,Junior,Yes,Out-of-State,Yes,No,No,2.19,444,9.3,85.00
112,Senior,Yes,In-State,No,Yes,No,3.04,88,11.2,429.14
113,Graduate,Yes,In-State,No,No,No,3.08,162,0,407.38
114,Freshman,Yes,In-State,Yes,Yes,Yes,4,23,0,555.51
115,Freshman,Yes,In-State,Yes,Yes,No,2.96,7,9.9,674.16
116,Senior,Yes,In-State,No,No,No,3.19,920,0,587.15
117,Junior,No,In-State,No,No,No,3.03,506,18.7,400.94
118,Senior,Yes,In-State,Yes,No,No,2.52,333,31,276.75
119,Sophomore,Yes,In-State,No,No,No,3.56,147,0,786.34
120,Junior,Yes,In-State,Yes,Yes,No,3.39,53,11.4,454.40
121,Freshman,No,Out-of-State,No,No,No,3.41,48,0,449.11
122,Senior,Yes,In-State,No,Yes,No,2.64,81,19.9,421.06
123,Graduate,Yes,In-State,No,Yes,Yes,3.68,223,5.4,481.15
124,Sophomore,Yes,In-State,No,Yes,No,2.42,351,30.7,398.83
125,Sophomore,No,Out-of-State,No,Yes,No,3.31,302,0,369.72
126,Sophomore,No,In-State,No,No,No,4,92,12.2,393.91
127,Junior,Yes,In-State,Yes,No,No,2.6,867,2.3,418.74
128,Senior,Yes,In-State,No,Yes,No,2.8,375,26.8,358.35
129,Freshman,No,In-State,Yes,Yes,No,3.09,226,15.1,345.03
130,Junior,Yes,Out-of-State,No,Yes,Yes,2.82,265,25.9,443.44
131,Senior,Yes,Out-of-State,No,Yes,No,2.35,152,0,382.35
132,Graduate,Yes,In-State,Yes,No,No,3.08,80,11.2,632.92
133,Graduate,No,In-State,No,Yes,No,2.57,123,16,85.00
134,Junior,No,In-State,Yes,No,No,3.26,397,16.4,584.70
135,Junior,Yes,In-State,Yes,No,No,2.64,5,12.4,586.19
136,Sophomore,Yes,In-State,No,No,No,3.75,35,21,187.96
137,Senior,Yes,Out-of-State,No,No,No,2.7,13,7.5,381.45
138,Junior,No,Out-of-State,No,Yes,No,2.91,12,14.9,384.01
139,Junior,No,Out-of-State,Yes,Yes,No,3.42,542,17,264.62
140,Senior,Yes,In-State,Yes,Yes,No,2.5,341,20.1,318.88
141,Sophomore,No,In-State,No,No,No,3.15,180,21.7,295.13
142,Sophomore,Yes,Out-of-State,No,No,Yes,3.64,29,7,682.00
143,Freshman,Yes,Out-of-State,No,No,No,2.33,189,0,536.54
144,Freshman,Yes,Out-of-State,Yes,No,No,3.13,180,26.2,604.20
145,Freshman,No,In-State,Yes,Yes,No,3.17,53,18.7,533.92
146,Junior,No,In-State,Yes,No,No,3.4,159,10,300.22
147,Freshman,No,In-State,No,Yes,No,2.49,142,0,351.51
148,Freshman,No,Out-of-State,No,Yes,No,2.46,268,16.9,482.42
149,Sophomore,Yes,In-State,Yes,Yes,No,3.28,282,25.4,284.52
150,Freshman,Yes,In-State,Yes,No,No,3.18,13,0,533.09
