DBenitez,PDiaz,FMartinez,AMelgar,JMizher,SMolina,SOlivaria,ERuiz,LIpina,NBenitez,DEsparza,TTaylor,TAdams,EMartinez,JIbarra,VMacedo,HHenderson,DPatton
a torta,torta,Never,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Maybe One,HAPPY,Starbucks,robbery,Yes,No,,Yes,Yes,Play sports,,0
pizza,pizza,Frequently,The Supplier: I’m filling my backpack with every remaining bag of chips and bottled water from the vending machine.,Yes,fast food,Alot,,,DUI,Yes,Yes,,Yes,Sometimes,Play sports,,0
,,,,,,,,,,No,Yes,,,,,,1
,,,,,,,,,,Yes,No,,,,,,0
,,,,,,,,,,Yes,No,,,,,,
,,,,,,,,,,No,Yes,,,,,,
,,,,,,,,,,,Yes,,,,,,
,,,,,,,,,,No,Yes,,,,,,
,,,,,,,,,,No,Yes,,,,,,
,,,,,,,,,,Yes,Yes,,,,,,
,,,,,,,,,,Yes,,,,,,,
