student_id,grade_level,study_hours_per_week,sleep_hours_per_night,extracurricular,part_time_job,screen_time_hours,attendance_rate,favorite_subject,test_score
S1028,9,18,8,Yes,Yes,5.3,,Art/Elective,100
S1018,11,2.3,8,No,No,2,98.1,English,78.5
S1141,10,6.6,6,Yes,No,1.7,89.9,English,96.7
S1134,10,9.2,4.7,Yes,Yes,3.7,86.7,Science,79.9
S1097,9,2.6,6.7,No,Yes,3.7,100,Math,74.9
S1088,9,10.9,9.8,Yes,Yes,6.3,91.7,Math,89
S1058,9,4.6,7.9,Yes,No,5.9,87,Science,67.3
S1113,10,10.3,6.9,Yes,No,5.3,84.4,Math,88.9
S1150,11,3.4,5.4,No,No,5.3,96.9,Art/Elective,73.7
S1036,9,7,7.7,Yes,Yes,2.2,96.8,English,88
S1188,11,5.6,6,No,No,1.7,91.2,English,78.6
S1179,11,6.1,6.6,Yes,No,5.4,91.8,English,74.4
S1051,9,10.9,7.8,Yes,No,4.1,81.2,English,88.4
S1170,9,6.3,7.9,Yes,Yes,2.1,87.5,Science,79.2
S1140,10,9.3,5.9,Yes,No,4,89.6,Art/Elective,80.7
S1082,11,8.2,8.1,Yes,Yes,3.9,96.9,Art/Elective,94.9
S1115,12,5.2,7.1,No,No,3,84.1,Science,96.7
S1095,11,4.3,6.6,No,No,6.4,82.3,English,77.5
S1037,10,6,6.6,Yes,No,6,91.2,English,73.8
S1132,10,13.2,7.1,Yes,Yes,4.8,80.9,English,83.8
S1102,9,5.9,7.5,Yes,No,4.1,95.7,Science,77.5
S1098,9,3.5,8.1,Yes,Yes,5.8,93.7,Math,66.4
S1049,9,4.7,6,No,No,2.3,85.4,Science,73.3
S1005,12,3.4,5.4,No,No,4.5,84.5,Science,81
S1017,9,3.4,7.8,No,No,2.4,82.5,Math,70.7
S1161,12,2.1,6.2,Yes,Yes,3.2,90.4,Art/Elective,65.7
S1171,10,4.5,7.7,No,No,4.5,88.8,Art/Elective,74.8
S1178,12,4.8,7.3,No,Yes,3.4,88.6,Art/Elective,71.6
S1197,12,4.7,7.5,Yes,No,6.2,93.1,Science,88.1
S1062,10,8.2,9.2,Yes,Yes,5.6,90.1,Science,74.7
S1064,11,8.9,9,No,No,3.4,100,History,88.4
S1026,10,14.2,6.3,Yes,Yes,7.4,90.9,History,89.1
S1148,10,5.3,8.1,No,No,1.2,94.3,Math,83.4
S1041,11,11.4,4.5,Yes,No,5.2,99.4,English,95.8
S1052,11,4.8,5.6,No,No,4.5,92.4,English,79.7
S1034,10,4.8,7.5,No,Yes,1.3,100,Art/Elective,100
S1081,10,8.3,4.4,Yes,Yes,3.3,93.8,History,96.1
S1007,11,8.6,6.7,Yes,No,3.8,85.5,Math,81.4
S1091,11,10.3,7,Yes,Yes,4.6,77.4,English,89.1
S1195,9,10.3,8.2,No,No,4.3,97.2,Math,91.1
S1173,12,2.1,7.9,No,No,4.7,87.2,Art/Elective,79.1
S1070,9,4.1,8.5,Yes,No,2.8,90.4,Science,84.3
S1169,12,10.8,8.1,Yes,No,4.8,86.7,Science,84.3
S1111,9,7.9,7,No,No,0.8,84.6,Science,82.6
S1008,9,5.6,6.6,No,No,6.3,87,Math,68
S1104,11,3.7,8.2,No,No,2,96.3,English,77.3
S1079,11,7.4,7.7,Yes,No,4.1,86.7,Science,75.8
S1125,10,3.8,7.2,Yes,No,5.8,90.7,History,78
S1187,9,5.3,7.4,Yes,Yes,5.4,81.5,Science,97.7
S1029,11,4.5,7.5,No,No,3.3,100,Math,79.2
S1003,11,5.8,7.5,No,No,1.9,91.6,English,72
S1039,11,3.7,8.7,No,Yes,5.9,89.7,Art/Elective,77.5
S1050,9,4.8,7.8,Yes,Yes,2.2,85.8,Science,82
S1077,11,6.8,5.3,No,No,3.3,93.1,English,82.8
S1166,11,3.2,9.2,Yes,Yes,5.4,94.3,Math,74.4
S1114,9,3.6,6.1,Yes,Yes,1.6,92.9,Science,75.7
S1054,11,1.8,9.5,No,No,4,88.4,English,64.1
S1090,9,8.3,7.6,Yes,No,3.4,90.9,History,86.9
S1165,10,8.5,,Yes,Yes,2.9,86.2,Science,90.1
S1043,10,6.3,10,No,No,4.8,85.5,Science,90.9
S1162,9,5.8,7.2,No,No,2.5,99.2,Math,88.1
S1048,11,6.3,7,No,No,3.2,89.4,History,73.7
S1154,9,4.7,6.1,Yes,Yes,4.7,95.5,Science,68.7
S1059,9,7.3,5.3,Yes,No,2.5,93.2,Math,86.9
S1015,9,5.8,6.5,No,No,2.6,89.9,Math,83.2
S1053,11,6.4,8,Yes,No,2.8,90.5,English,91.4
S1020,11,3.7,5.3,Yes,No,4.6,89.8,English,84.2
S1014,10,6,8.6,Yes,No,2.2,94.6,English,87
S1190,12,5.1,7.3,No,Yes,4.6,93,Math,70.7
S1133,10,5.7,8.4,Yes,No,6.8,92.3,English,80.5
S1076,9,6.4,7.1,No,No,6.6,100,Math,86
S1009,10,7,8.1,Yes,No,5.5,99.9,Math,73.7
S1105,11,6.1,4.7,Yes,Yes,4,82.8,History,80.1
S1107,9,4.8,6.3,Yes,No,5.2,92.1,History,83.8
S1160,9,4,6.8,Yes,Yes,4.7,92.4,History,80.9
S1012,11,5.1,7.8,No,No,6.9,79.8,History,79.2
S1016,10,16.4,6.5,No,No,6.2,94.5,Art/Elective,100
S1047,9,2.9,6.9,No,No,4.8,95.5,Art/Elective,83.5
S1147,10,5.8,7.4,Yes,No,5.1,94.7,Math,81
S1119,11,8.1,7.8,Yes,No,0.9,87.3,Math,84.2
S1021,10,1.4,7.8,Yes,Yes,3.8,88.1,Science,64.5
S1164,10,7.7,6.1,No,Yes,4.5,80.3,History,77.4
S1130,9,9.4,6.8,No,No,3,96.4,Math,92.5
S1184,11,3.6,7.5,Yes,No,2.3,84,Science,70
S1073,9,2.7,7.2,No,No,3.1,,English,65.9
S1030,11,12.1,6.5,Yes,No,3.7,81.6,Science,89.4
S1146,10,6.2,7.5,No,Yes,3.8,78.2,Science,81.1
S1033,10,5.1,7.2,Yes,Yes,1.9,85.9,English,85
S1145,9,5.5,7,Yes,Yes,1.6,90,History,78.8
S1168,10,10.6,6.2,Yes,No,3.6,81.6,History,81.7
S1177,12,6.2,5.2,Yes,Yes,3.6,90.1,Math,80.7
S1123,10,8.6,8,No,No,0.5,94,Art/Elective,100
S1199,10,2.8,7,No,No,0.5,90.1,History,79.8
S1100,12,5.7,6.7,Yes,Yes,1,91.7,History,79.5
S1149,9,3.6,8.1,Yes,No,2.4,92.9,English,79.8
S1158,11,3.7,9.2,Yes,No,2.8,89.4,Art/Elective,77.7
S1198,9,7.8,7.2,No,No,5.8,98.1,Science,89.2
S1183,10,5.3,8.7,Yes,No,4.6,87.2,Math,79.6
S1061,10,12.2,6.8,No,No,3.2,99.6,Art/Elective,97.3
S1035,9,6.2,6.5,No,Yes,0.6,97,Art/Elective,72.4
S1010,10,4.6,7.5,No,No,3.6,87.7,Science,78.2
S1193,11,6.3,7.1,No,No,4.5,83.4,English,82.5
S1071,10,7.5,6.8,No,No,4.5,88.6,Math,80
S1040,10,5.2,,Yes,No,4.6,93.3,Math,84.2
S1093,10,15.3,7.9,No,No,4,90,English,85.5
S1159,11,15.8,7.8,Yes,No,4.6,96,Science,100
S1118,10,3.3,6.2,No,No,4.1,87.6,Art/Elective,67.8
S1144,10,9.2,7.8,Yes,No,4.4,98.2,Art/Elective,81
S1001,10,5.5,,Yes,No,4.9,90,Art/Elective,76.4
S1083,9,6.2,7.5,Yes,No,3.8,91.2,Math,77.3
S1192,9,2.3,7.1,No,No,4,82.3,Science,82.2
S1087,10,3,7.6,No,No,4.9,80.4,Math,70
S1137,10,2.1,8.8,No,Yes,5.8,79.4,History,64.2
S1004,9,1.5,9.2,Yes,No,3.5,,Art/Elective,60.9
S1038,9,5.7,6.7,No,No,3.9,89.7,Art/Elective,84.4
S1174,9,4.1,8,No,No,3.4,86.6,Science,91.1
S1034,10,4.8,7.5,No,Yes,1.3,100,Art/Elective,100
S1112,10,6.1,8.4,Yes,No,4.4,88.9,Math,73.3
S1152,9,9.2,8.3,Yes,No,4.6,100,Math,84.4
S1056,10,8.4,6.8,No,No,4.9,83.5,History,83.2
S1069,10,5.3,7.4,Yes,No,6.3,94.1,English,87.7
S1044,11,9.7,6.8,No,Yes,5.1,95.9,Science,70.1
S1019,11,6.5,7.7,No,No,3.3,89.1,Science,91
S1006,11,3.3,5.8,No,No,4.9,93,Math,68.4
S1055,11,12.1,7.4,Yes,No,4.9,73.3,Science,95.2
S1075,9,7.4,6.8,Yes,Yes,3.9,91.5,Art/Elective,71.1
S1000,11,7.6,7.5,No,Yes,2.8,89.1,English,88.9
S1172,9,4.3,8.6,No,No,6.9,82.7,English,84
S1135,9,6.5,5.6,Yes,Yes,4.6,98.9,English,77.5
S1127,9,6.6,5.9,Yes,No,3.5,91.8,Art/Elective,80.6
S1176,10,1.9,7.6,No,No,3.4,95.9,English,69.1
S1068,9,7.9,6.2,Yes,No,5.5,89,Math,78.4
S1167,11,10.3,8.4,No,No,3.8,93.4,English,96.1
S1136,12,6.5,6.2,No,No,1.8,89.1,Math,87.3
S1042,11,3.6,9,No,No,2.6,92.1,Art/Elective,81.9
S1110,10,1.2,6.2,No,No,3.4,87.3,English,63.2
S1089,10,3.5,7.7,Yes,No,6.2,97.8,English,65.5
S1072,12,3.1,5.3,Yes,Yes,2.9,99.8,Math,75.4
S1023,12,14.6,7.5,No,No,3,95.2,Math,100
S1142,12,4.7,7.7,Yes,Yes,4.3,88.5,English,87.1
S1185,11,2.6,8.7,Yes,No,6,92,Math,81.5
S1092,10,8.3,8.1,No,Yes,3.1,89.9,Art/Elective,85
S1103,12,6.2,7.4,No,Yes,4.4,86.1,English,85
S1151,12,7.5,4.7,Yes,Yes,4.4,84,History,70.3
S1067,10,8,7.6,Yes,No,1.7,87.4,Science,81.7
S1025,9,1.8,7.7,Yes,No,2.7,94.9,English,78.1
S1196,10,4.8,7.2,Yes,Yes,4.4,77.7,Science,69.7
S1175,9,1.1,7.9,Yes,No,3.2,95.6,Art/Elective,91.3
