ClassGrade,Gender,Ageyears,Handed,Travel_to_School,Favourite_physical_activity,Longer_foot,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Home_Internet_Access,Communication_With_Friends,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
12,Male,17,Right-Handed,Car,Basketball,Same length,Ring finger,May,Winter,No,No,Seafood,Water,Mathematics and statistics,Yes - broadband connection,In person,A lot,Graduate degree,Other,Telepathy,Healthy,Business person,Health
12,Female,18,Right-Handed,Car,Other,Same length,Ring finger,September,Summer,Yes,No,Rice/Noodle dishes,Soft drink (caffeinated),Other,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",A lot,Other,Country,Telepathy,Happy,Relative,Health
12,Female,16,Right-Handed,Bus,Dancing,Right foot,Index finger,March,Spring,Yes,No,Seafood,Water,Other,Yes - broadband connection,Text messaging,A lot,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,"Wildlife, animals"
11,Female,17,Right-Handed,Car,Dancing,Right foot,Ring finger,May,Spring,Yes,No,Desserts,Water,English,Yes - broadband connection,Internet chat or instant messaging,A lot,Undergraduate degree,Rock and roll,Invisibility,Happy,Other,Health
12,Male,17,Right-Handed,Car,Athletics,Same length,Ring finger,October,Fall,Yes,No,Seafood,Milk,Mathematics and statistics,Yes - broadband connection,In person,Very little,Graduate degree,Pop,Fly,Happy,Relative,Education/Youth development
12,Female,18,Left-Handed,Car,Athletics,Same length,Ring finger,June,Summer,No,No,Seafood,Coffee,Computers and technology,Yes - other,Text messaging,Some,High school,Pop,Fly,Rich,Coach or club leader,"Arts, culture, sports"
12,Female,17,Right-Handed,Bus,Tennis,Same length,Index finger,October,Fall,No,No,Other,Milk,Mathematics and statistics,Yes - other,"Myspace, Facebook, other social networking sites, or blog",,,,,,,
12,Male,17,Right-Handed,Car,Running/Jogging,Same length,Same length,October,Fall,No,No,Desserts,Soft drink (caffeinated),Computers and technology,Yes - broadband connection,Internet chat or instant messaging,Some,Some college,Punk rock,Telepathy,Happy,Relative,"Wildlife, animals"
12,Male,17,Ambidextrous,,,,,,,,,,,,,,,,,,,,
12,Male,17,Right-Handed,Car,Baseball/Softball,Same length,Ring finger,July,Fall,Yes,No,Pizza/Pasta,Water,Physical education,Yes - broadband connection,Text messaging,None,Graduate degree,Other,Fly,Happy,Other,Environment
12,Female,16,Right-Handed,Car,Walking/Hiking,Same length,Same length,February,Winter,No,No,Salads,Water,English,Yes - broadband connection,Internet chat or instant messaging,Some,Some college,Country,Invisibility,Happy,Business person,Religious
12,Male,18,Right-Handed,Car,Soccer,Right foot,Index finger,March,Summer,No,No,No favorite,Water,Art,Yes - other,Cell phone,Very little,Graduate degree,Classical,Freeze time,Happy,Business person,"Arts, culture, sports"
12,Female,17,Right-Handed,Car,Other,Right foot,Index finger,July,Fall,No,No,Pizza/Pasta,Water,Music,Yes - other,Text messaging,Very little,Graduate degree,Classical,Telepathy,Rich,Musician or singer,"Arts, culture, sports"
12,Female,17,Right-Handed,Car,None,Same length,Same length,November,Fall,Yes,No,Desserts,Water,English,Yes - dial-up connection,In person,A lot,Graduate degree,Pop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Female,17,Left-Handed,Car,None,Same length,Ring finger,December,Winter,No,No,No favorite,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Female,16,Right-Handed,Car,Other,Same length,Index finger,January,Fall,Yes,No,Meat,Soft drink (caffeinated),Music,Yes - other,Text messaging,A lot,Graduate degree,Other,Freeze time,Rich,Teacher,"Arts, culture, sports"
12,Male,18,Right-Handed,Car,Soccer,Same length,Ring finger,June,Spring,Yes,No,Meat,Water,History,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",A lot,Graduate degree,Country,Telepathy,Rich,Relative,"Arts, culture, sports"
12,Female,17,Right-Handed,Car,Baseball/Softball,Same length,Same length,September,Fall,No,No,Breads/Sandwiches,Water,English,Yes - other,Cell phone,A lot,Graduate degree,Country,Fly,Happy,Religious figure,Religious
12,Female,17,Right-Handed,Car,Bowling,Same length,Same length,September,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),English,Yes - other,Internet chat or instant messaging,Some,Some college,Country,Telepathy,Rich,Business person,Education/Youth development
12,Male,16,Left-Handed,Car,Other,Same length,Ring finger,September,Summer,No,No,Poultry,Water,English,Yes - broadband connection,In person,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,Education/Youth development
12,Male,18,Right-Handed,Bicycle,Swimming,Same length,Ring finger,November,Spring,No,No,Meat,Water,Science,Yes - other,Text messaging,Very little,Other,Gospel,Super strength,Healthy,Relative,Religious
12,Male,16,Right-Handed,Car,Other,Same length,Same length,February,Winter,Yes,,Pizza/Pasta,Soft drink (caffeinated),Music,Yes - broadband connection,Text messaging,Some,Graduate degree,Other,Freeze time,Rich,Other,Health
12,Female,17,Right-Handed,Car,Other,Left foot,Ring finger,September,Spring,Yes,No,Rice/Noodle dishes,Coffee,Science,Yes - broadband connection,In person,A lot,Graduate degree,Rhythm and blues (R&B),Super strength,Happy,Doctor or nurse,Education/Youth development
10,Male,14,Right-Handed,Bus,Basketball,Same length,Index finger,March,Summer,Yes,No,Fruit,Water,Physical education,,,Very little,Some college,Rap/Hip hop,Freeze time,Happy,Relative,Health
10,Male,14,Right-Handed,Bus,Soccer,Same length,Index finger,January,Winter,No,No,Pizza/Pasta,Water,Science,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Rhythm and blues (R&B),Invisibility,Rich,Sports person,Health
12,Female,17,,,,,,,,,,,,,,,,,,,,,
12,Female,17,Right-Handed,Car,Swimming,Right foot,Ring finger,March,Spring,No,No,Pizza/Pasta,Soft drink (caffeinated),Music,Yes - other,Text messaging,Some,Undergraduate degree,Pop,Fly,Rich,Relative,Health
12,Female,18,Right-Handed,Car,Walking/Hiking,Same length,Same length,May,Spring,No,No,Meat,Water,Science,,,Very little,Other,Pop,Fly,Happy,Relative,Health
12,Female,17,Right-Handed,Car,Dancing,Same length,Ring finger,June,Winter,No,No,Poultry,Water,Other,Yes - other,In person,A lot,Some college,Heavy metal,Telepathy,Healthy,Relative,Health
12,Female,17,Right-Handed,Car,Soccer,Left foot,Ring finger,August,Spring,Yes,No,Fruit,Energy drink,English,Yes - broadband connection,Text messaging,Some,Graduate degree,Pop,Telepathy,Rich,Relative,"Wildlife, animals"
11,Male,16,Right-Handed,Car,Soccer,Same length,Same length,July,Summer,No,No,Meat,Soft drink (caffeinated),History,Yes - broadband connection,Cell phone,Some,Graduate degree,Other,Freeze time,Rich,Relative,Environment
12,Male,18,Right-Handed,Car,Basketball,Same length,Index finger,October,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Very little,Some college,Rap/Hip hop,Fly,Rich,Sports person,Other
12,Female,17,Right-Handed,Car,Soccer,Right foot,Ring finger,April,Summer,No,No,Rice/Noodle dishes,Water,Art,,Text messaging,Some,Graduate degree,Rhythm and blues (R&B),Freeze time,Happy,Relative,International aid
12,Male,18,Right-Handed,Car,Football (American),Right foot,Index finger,November,Summer,No,No,Other,Water,English,Yes - broadband connection,,Some,High school,Rap/Hip hop,Telepathy,Rich,Coach or club leader,Religious
12,Male,18,Right-Handed,Car,Basketball,Same length,Ring finger,November,Summer,Yes,No,Pizza/Pasta,Tea,Computers and technology,Yes - other,"Myspace, Facebook, other social networking sites, or blog",None,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Arts, culture, sports"
12,Male,17,Right-Handed,Car,Athletics,Same length,Ring finger,April,Fall,No,No,No favorite,Water,History,Yes - broadband connection,Text messaging,Some,Other,Other,Freeze time,Healthy,Other,Environment
12,Male,17,Right-Handed,Bus,Running/Jogging,Same length,Index finger,June,Winter,No,No,Rice/Noodle dishes,Water,Physical education,Yes - broadband connection,In person,Very little,High school,Other,Super strength,Happy,Business person,Education/Youth development
12,Male,17,Right-Handed,Car,Soccer,Same length,Index finger,May,Winter,No,No,Seafood,Juice,English,Yes - other,Text messaging,Some,Graduate degree,Reggae,Fly,Healthy,Sports person,Health
12,Male,16,Right-Handed,Car,Football (American),Right foot,Ring finger,February,Winter,No,No,Meat,Water,Art,Yes - broadband connection,In person,Some,High school,Rap/Hip hop,Fly,Rich,Other,Health
12,Female,17,Right-Handed,Car,Other,Same length,Same length,February,Summer,Yes,No,Seafood,Water,Other,Yes - dial-up connection,In person,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Doctor or nurse,International aid
12,Female,16,Right-Handed,Car,Dancing,Same length,Same length,December,Winter,No,No,No favorite,Soft drink (caffeinated),History,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
12,Female,17,Right-Handed,Bus,Other,Left foot,Same length,July,Fall,No,No,Meat,Juice,History,No internet connection,In person,A lot,,Other,Telepathy,Rich,Business person,"Arts, culture, sports"
12,Male,17,Ambidextrous,Bus,Skateboarding/Rollerblading,Same length,Index finger,July,Winter,Yes,No,Seafood,Energy drink,History,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Rap/Hip hop,Fly,Happy,Religious figure,Health
12,Male,17,Right-Handed,Bus,Other,Same length,Index finger,March,Winter,No,No,Meat,Soft drink (caffeinated),History,Yes - broadband connection,Internet chat or instant messaging,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Musician or singer,Education/Youth development
12,Male,17,Right-Handed,Car,Athletics,Same length,Ring finger,January,Fall,No,No,Rice/Noodle dishes,Water,Science,Yes - broadband connection,In person,Some,Graduate degree,Other,Invisibility,Healthy,Sports person,"Wildlife, animals"
11,Female,16,Right-Handed,Car,Basketball,,Ring finger,October,Fall,Yes,No,Meat,Soft drink (caffeinated),Physical education,Yes - other,Cell phone,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Sports person,Health
12,Male,18,Left-Handed,Bus,Basketball,Left foot,Index finger,August,Summer,Yes,No,Poultry,Milk,History,Yes - broadband connection,In person,Some,Some college,Other,Freeze time,Happy,Relative,Religious
12,Female,17,Right-Handed,Car,Martial Arts,Right foot,Ring finger,September,Spring,No,No,Seafood,Water,Other,Yes - broadband connection,Text messaging,Some,Some college,Pop,Telepathy,Rich,Relative,Religious
12,Female,17,Right-Handed,Car,Football (American),Same length,Index finger,February,Fall,No,No,Pizza/Pasta,Juice,History,Yes - broadband connection,Text messaging,Some,High school,Rhythm and blues (R&B),Fly,Happy,Relative,Health
12,Female,16,Right-Handed,Car,Other,,,,,,,,,,,,,,,,,,
12,Male,17,Right-Handed,Car,Soccer,Same length,Same length,December,Winter,No,No,Poultry,Water,Science,Yes - broadband connection,In person,Some,Graduate degree,Punk rock,Fly,Happy,Teacher,"Wildlife, animals"
11,Female,16,Right-Handed,Car,Other,Same length,Same length,May,Summer,Yes,No,Seafood,Energy drink,Science,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Reggae,Telepathy,Healthy,Relative,Health
12,Female,17,Right-Handed,Car,Dancing,Same length,Ring finger,August,Fall,No,No,Salads,Water,Other,Yes - other,In person,Some,Some college,Jazz,Telepathy,Healthy,Other,Health
12,Female,17,Right-Handed,Car,Dancing,,Index finger,October,Fall,Yes,No,Poultry,Sports drink,Mathematics and statistics,Yes - broadband connection,Text messaging,A lot,High school,Reggae,Telepathy,Rich,Business person,International aid
12,Male,16,Right-Handed,Car,None,Same length,Same length,April,Fall,No,No,Rice/Noodle dishes,Juice,Social studies,Yes - dial-up connection,Internet chat or instant messaging,Very little,Other,Other,Telepathy,Rich,Other,Health
12,Female,16,Right-Handed,Car,Other,Same length,Ring finger,August,Winter,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,Yes - other,In person,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Friend,Education/Youth development
11,Female,16,Right-Handed,Car,Swimming,Right foot,Same length,September,Fall,No,No,Pizza/Pasta,Coffee,Mathematics and statistics,Yes - broadband connection,Text messaging,A lot,Graduate degree,Punk rock,Telepathy,Happy,Business person,Education/Youth development
12,Female,17,Right-Handed,Car,Soccer,Left foot,Ring finger,October,Summer,Yes,No,Seafood,Water,Science,Yes - other,Text messaging,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Health
12,Male,16,Ambidextrous,Car,Tennis,Same length,Same length,November,Summer,No,No,Meat,Water,Science,No internet connection,Text messaging,None,Less than high school,Other,Fly,Rich,Relative,Environment
10,Male,14,Right-Handed,Car,Soccer,Right foot,Index finger,March,Spring,No,No,Meat,Water,Art,Yes - other,Text messaging,Some,Graduate degree,Reggae,Telepathy,Rich,Relative,Other
11,Female,17,Right-Handed,Bus,,Left foot,Index finger,November,Fall,No,No,Meat,Energy drink,Geography,Yes - other,Text messaging,Some,Graduate degree,,Super strength,Healthy,Politician,Health
12,Female,17,Right-Handed,Car,Running/Jogging,Same length,Index finger,March,Spring,No,No,Fruit,Water,History,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,Environment
12,Male,17,Right-Handed,Car,Basketball,Right foot,Same length,October,Fall,Yes,No,Meat,Soft drink (caffeinated),Other,Yes - other,Text messaging,A lot,Other,Rock and roll,Telepathy,Healthy,Musician or singer,Health
12,Male,18,Right-Handed,Car,None,Same length,Index finger,March,Fall,No,No,No favorite,Water,Social studies,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Very little,Some college,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Football (American),Right foot,Index finger,March,Fall,Yes,No,Meat,Water,Other,Yes - other,Text messaging,A lot,Some college,Rap/Hip hop,Super strength,Happy,Other,Environment
11,Female,17,Left-Handed,Bus,Walking/Hiking,Left foot,Ring finger,August,Winter,No,No,Fruit,Coffee,Other,Yes - other,Text messaging,A lot,Undergraduate degree,Other,Fly,Healthy,Other,"Wildlife, animals"
10,Male,14,Right-Handed,Car,Tennis,,Same length,July,Summer,No,No,Meat,,Mathematics and statistics,Yes - broadband connection,Text messaging,A lot,Graduate degree,Pop,Freeze time,Rich,Relative,International aid
12,Male,17,Right-Handed,Car,Swimming,Same length,Index finger,March,Fall,No,No,Rice/Noodle dishes,Soft drink (caffeinated),History,Yes - broadband connection,Text messaging,A lot,Graduate degree,Pop,Telepathy,Famous,Actor,"Wildlife, animals"
12,Male,18,Right-Handed,Car,Football (American),Left foot,Same length,December,Fall,No,No,Meat,Water,Other,Yes - other,Internet chat or instant messaging,Very little,High school,Country,Freeze time,Rich,Relative,"Wildlife, animals"
12,Male,17,Right-Handed,Car,Basketball,Same length,Same length,November,Winter,No,No,Meat,Water,Other,No internet connection,Internet chat or instant messaging,Some,Graduate degree,Pop,Telepathy,Rich,Relative,Education/Youth development
12,Female,18,Right-Handed,Car,Dancing,Same length,Same length,February,Fall,No,No,Fruit,Juice,History,,Cell phone,A lot,Undergraduate degree,Country,Telepathy,Happy,Relative,Health
12,Female,17,Right-Handed,Car,Other,Right foot,Same length,November,Summer,No,No,Pizza/Pasta,Tea,Science,,In person,Very little,Undergraduate degree,Pop,Fly,Happy,Sports person,"Wildlife, animals"
12,Female,19,Right-Handed,Car,Skateboarding/Rollerblading,Right foot,Index finger,April,Fall,Yes,No,Pizza/Pasta,Juice,History,Yes - other,In person,A lot,High school,Punk rock,Invisibility,Happy,Relative,Health
10,Female,15,Right-Handed,Car,Dancing,,Index finger,November,Winter,No,No,Pizza/Pasta,Coffee,Other,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
10,Female,15,Right-Handed,Walk,Running/Jogging,Same length,Index finger,December,Summer,Yes,No,Desserts,Water,Computers and technology,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Other,Telepathy,Healthy,Relative,Environment
12,Male,18,Left-Handed,Car,Basketball,Right foot,Ring finger,December,Winter,Yes,No,Meat,Sports drink,History,Yes - broadband connection,In person,Very little,Graduate degree,Rock and roll,Fly,Rich,Friend,Health
12,Male,16,Right-Handed,Car,Soccer,Same length,Ring finger,September,Winter,No,No,Meat,Water,Physical education,Yes - broadband connection,In person,None,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Relative,Health
12,Female,17,Right-Handed,Car,Soccer,Left foot,Same length,May,Summer,No,No,Poultry,Soft drink (caffeinated),Science,Yes - other,Text messaging,A lot,Graduate degree,Other,Fly,Rich,Relative,Health
12,Female,16,Right-Handed,Car,Athletics,Same length,Index finger,June,Fall,No,No,Rice/Noodle dishes,Water,English,Yes - other,"Myspace, Facebook, other social networking sites, or blog",A lot,Graduate degree,Rap/Hip hop,Telepathy,Famous,Actor,International aid
12,Male,16,Right-Handed,Car,Other,Same length,Ring finger,July,Winter,No,No,Other,Other,Other,Yes - broadband connection,In person,Some,Other,Other,Super strength,Happy,Relative,Health
11,Male,18,Right-Handed,Car,Basketball,Same length,Index finger,November,Summer,No,No,Meat,Water,Mathematics and statistics,Yes - broadband connection,In person,None,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Religious figure,Religious
12,Female,17,Right-Handed,Car,Basketball,Same length,Same length,January,Fall,Yes,No,Fruit,Sports drink,History,Yes - other,Internet chat or instant messaging,Some,Graduate degree,Rhythm and blues (R&B),Freeze time,Happy,Sports person,Health
12,Male,17,Right-Handed,Bus,,,,,,,,,,,,,A lot,High school,Rap/Hip hop,Freeze time,Rich,Actor,"Arts, culture, sports"
12,Male,16,Right-Handed,Bus,None,Same length,Same length,May,Winter,No,No,Meat,Soft drink (caffeinated),Mathematics and statistics,Yes - broadband connection,Cell phone,Some,Graduate degree,Other,Fly,Rich,Actor,Education/Youth development
12,Female,17,Right-Handed,Car,Swimming,Same length,Same length,July,Fall,Yes,No,Desserts,Water,Art,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",A lot,Graduate degree,Other,Invisibility,Rich,Friend,"Wildlife, animals"
12,Male,17,Ambidextrous,Car,Football (American),Same length,Same length,April,Winter,Yes,No,Meat,Water,Art,Yes - broadband connection,Internet chat or instant messaging,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Musician or singer,Environment
12,Female,16,Right-Handed,Car,Dancing,Right foot,Ring finger,February,Fall,No,No,Pizza/Pasta,Water,Science,Yes - broadband connection,Internet chat or instant messaging,Some,Graduate degree,Pop,Fly,Happy,Musician or singer,Environment
12,Male,18,Right-Handed,Car,Martial Arts,Same length,Same length,January,Winter,No,No,Meat,Water,Other,Yes - other,In person,Some,Graduate degree,Other,Freeze time,Rich,Other,Environment
12,Female,17,Left-Handed,Bus,Other,Right foot,Index finger,August,Spring,Yes,No,Meat,Tea,Art,Yes - other,Internet chat or instant messaging,A lot,Other,Punk rock,Freeze time,Happy,Relative,Environment
12,Female,16,Left-Handed,Bus,Walking/Hiking,,Index finger,January,Spring,No,No,Meat,Water,History,Yes - other,Text messaging,Some,Some college,Rap/Hip hop,Telepathy,Rich,Actor,Health
12,Male,17,Right-Handed,Car,Football (American),Right foot,Index finger,February,Winter,Yes,No,Poultry,Water,Social studies,Yes - other,In person,Some,Graduate degree,Other,Telepathy,Healthy,Relative,Health
12,Male,18,Right-Handed,Car,Football (American),Same length,Ring finger,July,Fall,No,No,Pizza/Pasta,Water,History,Yes - other,Text messaging,Very little,Graduate degree,Rock and roll,Super strength,Rich,Other,Other
12,Male,17,Right-Handed,Car,Baseball/Softball,Same length,Ring finger,April,Summer,Yes,No,Meat,Water,English,Yes - other,Internet chat or instant messaging,Some,High school,Rap/Hip hop,Super strength,Rich,Actor,International aid
12,Female,17,Right-Handed,Car,Walking/Hiking,Same length,Ring finger,December,Fall,Yes,No,Pizza/Pasta,Water,Science,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Undergraduate degree,Country,Fly,Healthy,Religious figure,Environment
12,Male,17,Right-Handed,Car,Basketball,Same length,Ring finger,March,Fall,No,No,Pizza/Pasta,,Physical education,Yes - broadband connection,In person,Some,High school,Heavy metal,Super strength,Famous,Religious figure,International aid
11,Female,16,Left-Handed,Car,Running/Jogging,Same length,Index finger,September,Fall,No,No,Meat,Water,Physical education,Yes - broadband connection,In person,Some,Some college,Pop,Telepathy,Rich,Sports person,International aid
12,Male,17,Left-Handed,Car,Baseball/Softball,Same length,Index finger,July,Winter,Yes,No,Poultry,Tea,English,Yes - broadband connection,Cell phone,Some,Some college,Rhythm and blues (R&B),Freeze time,Rich,Other,Education/Youth development
12,Male,18,Right-Handed,Car,Other,Same length,Index finger,September,Fall,Yes,No,Meat,Water,Physical education,Yes - other,Cell phone,None,High school,Country,Fly,Happy,Other,
12,Female,18,Right-Handed,Car,Golf,Same length,Index finger,November,Summer,No,No,Breads/Sandwiches,Water,History,Yes - other,Internet chat or instant messaging,Some,Graduate degree,Country,Telepathy,Happy,Friend,"Wildlife, animals"
12,Female,17,Right-Handed,Bus,Dancing,Left foot,Ring finger,October,Fall,No,No,Meat,Soft drink (caffeinated),Art,Yes - broadband connection,In person,Some,Graduate degree,Pop,Invisibility,Happy,Coach or club leader,"Wildlife, animals"
11,Male,17,Right-Handed,Bus,Other,Same length,Ring finger,June,Winter,No,No,Meat,Energy drink,Other,Yes - other,Internet chat or instant messaging,A lot,Other,Rhythm and blues (R&B),Telepathy,Rich,Actor,Environment
12,Female,17,Right-Handed,Car,None,Same length,Index finger,August,Spring,No,No,Pizza/Pasta,Sports drink,Mathematics and statistics,Yes - other,Text messaging,Some,Some college,Punk rock,Telepathy,Happy,Relative,Health
12,Male,18,Right-Handed,Car,Soccer,Same length,Ring finger,September,Winter,No,No,Pizza/Pasta,Milk,Other,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,Environment
12,Female,20,Right-Handed,Bus,Soccer,Same length,Same length,September,Fall,No,No,Poultry,Water,Art,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",None,Some college,Pop,Fly,Rich,Doctor or nurse,"Arts, culture, sports"
11,Male,16,Right-Handed,Car,Soccer,Right foot,Ring finger,March,Spring,No,No,Meat,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Business person,Religious
12,Female,18,Right-Handed,Car,None,Right foot,Index finger,March,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),English,Yes - broadband connection,Cell phone,A lot,Graduate degree,Other,Freeze time,Famous,Business person,Health
10,Female,14,Right-Handed,Car,Swimming,Right foot,Index finger,December,Summer,Yes,No,No favorite,Water,Mathematics and statistics,Yes - other,Text messaging,A lot,Other,Pop,Fly,Happy,Business person,"Arts, culture, sports"
12,Male,16,Ambidextrous,Car,Martial Arts,Same length,Ring finger,November,Fall,Yes,No,Meat,Soft drink (caffeinated),Music,Yes - other,Internet chat or instant messaging,A lot,Other,Other,Freeze time,Happy,Friend,"Arts, culture, sports"
12,Male,17,Right-Handed,Bus,Tennis,Same length,Ring finger,June,Summer,No,No,Meat,Water,Art,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",,,,,,,
12,Female,17,Right-Handed,Car,Gymnastics,Right foot,Index finger,December,Spring,No,No,Pizza/Pasta,Soft drink (caffeinated),Other,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Undergraduate degree,Rap/Hip hop,,Rich,Relative,Health
12,Female,18,Right-Handed,Car,Golf,Same length,Ring finger,August,Fall,No,No,Meat,Coffee,English,Yes - other,Internet chat or instant messaging,Some,Graduate degree,Rap/Hip hop,Super strength,Rich,Relative,Health
12,Female,18,Ambidextrous,Car,Swimming,Same length,Same length,December,Summer,Yes,No,Rice/Noodle dishes,Water,Art,Yes - other,Text messaging,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Other,Education/Youth development
12,Female,17,Left-Handed,Car,Baseball/Softball,Same length,Index finger,July,Fall,No,No,Rice/Noodle dishes,Powdered drink,English,Yes - other,Text messaging,A lot,Some college,Pop,Freeze time,Happy,Relative,Health
