SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,OFFICER_IN_UNIFORM_FLAG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME,STOP_WAS_INITIATED,MONTH2
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
PETIT LARCENY,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ROBBERY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
PETIT LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,N,Y,MALE,ASIAN / PACIFIC ISLANDER,BROOKLYN,Based on Self Initiated,January
RECKLESS ENDANGERMENT,N,Y,Y,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
OTHER,N,Y,Y,N,FEMALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
ASSAULT,N,Y,(null),N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,Y,N,(null),(null),BRONX,Based on Self Initiated,January
CPSP,N,Y,N,Y,MALE,WHITE,BROOKLYN,Based on Self Initiated,January
ASSAULT,Y,Y,(null),N,FEMALE,MIDDLE EASTERN/SOUTHWEST ASIAN,BROOKLYN,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ASSAULT,N,Y,N,N,MALE,WHITE,MANHATTAN,Based on Radio Run,January
ASSAULT,N,Y,Y,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
OTHER,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,FEMALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ROBBERY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
ROBBERY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,FEMALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,(null),N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
MENACING,Y,Y,N,N,MALE,WHITE,QUEENS,Based on Radio Run,January
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
ASSAULT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
OTHER,N,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,January
CPW,Y,Y,N,Y,MALE,ASIAN / PACIFIC ISLANDER,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
MENACING,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
CPW,Y,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,January
CRIMINAL POSSESSION OF MARIHUANA,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
CRIMINAL POSSESSION OF MARIHUANA,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,January
RECKLESS ENDANGERMENT,Y,Y,N,N,MALE,(null),BRONX,Based on Radio Run,January
RECKLESS ENDANGERMENT,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
RECKLESS ENDANGERMENT,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,(null),N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,Y,Y,(null),Y,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ROBBERY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
ASSAULT,Y,Y,N,N,MALE,WHITE,STATEN ISLAND,Based on Radio Run,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,STATEN ISLAND,Based on Self Initiated,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,STATEN ISLAND,Based on Self Initiated,January
ASSAULT,Y,Y,(null),N,MALE,(null),BROOKLYN,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
CPW,Y,Y,Y,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,(null),BRONX,Based on Radio Run,January
CPSP,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
ASSAULT,Y,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,January
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Radio Run,January
ROBBERY,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,January
CRIMINAL TRESPASS,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,WHITE,MANHATTAN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
ASSAULT,Y,Y,Y,N,MALE,BLACK,MANHATTAN,Based on C/W on Scene,January
CPW,N,Y,N,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
GRAND LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,WHITE,MANHATTAN,Based on Radio Run,January
BURGLARY,Y,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CRIMINAL TRESPASS,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
GRAND LARCENY AUTO,Y,Y,(null),N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,(null),N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
BURGLARY,Y,Y,N,N,MALE,WHITE,BROOKLYN,Based on Self Initiated,January
ASSAULT,Y,Y,Y,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
ROBBERY,N,Y,N,N,MALE,WHITE,QUEENS,Based on Radio Run,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
MURDER,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
ROBBERY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
GRAND LARCENY AUTO,Y,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,January
GRAND LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
GRAND LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
GRAND LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,Y,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,January
CRIMINAL MISCHIEF,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
GRAND LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CRIMINAL POSSESSION OF MARIHUANA,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Self Initiated,January
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,Y,Y,(null),Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CRIMINAL SALE OF MARIHUANA,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
OTHER,Y,Y,N,Y,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
ASSAULT,Y,Y,(null),N,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
ROBBERY,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,January
ROBBERY,N,Y,Y,N,MALE,WHITE,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
ASSAULT,Y,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
OTHER,N,Y,Y,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,Y,N,N,FEMALE,WHITE,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
BURGLARY,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ROBBERY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ASSAULT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,(null),Y,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ROBBERY,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Radio Run,January
ASSAULT,Y,Y,(null),N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,QUEENS,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,January
ASSAULT,N,Y,Y,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
PETIT LARCENY,N,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,BROOKLYN,Based on C/W on Scene,January
ROBBERY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
