class_year,hours_sleep
Sophomores,12
Sophomores,11.9
Sophomores,12
Sophomores,11.6
Sophomores,11.5
Sophomores,11.5
Sophomores,11.7
Sophomores,11.4
Sophomores,10.7
Sophomores,10.8
Sophomores,10.9
Juniors,9.9
Juniors,8.6
Juniors,9.3
Juniors,8.9
Juniors,9.6
Juniors,9.5
Juniors,8.3
Juniors,9.6
Juniors,10.9
Juniors,9.9
Juniors,7.3
Juniors,9.8
Juniors,9.9
Juniors,8.7
Juniors,11
Juniors,8.9
Juniors,6.5
Juniors,9.1
Juniors,7.3
Juniors,9
Juniors,7.7
Juniors,8.4
Juniors,9.6
Juniors,10.9
Juniors,9.8
Juniors,6.7
Juniors,8.8
Juniors,9.1
Juniors,7.9
Juniors,9.8
Juniors,7.1
Juniors,9.6
Juniors,8.9
Juniors,9.4
Juniors,8.6
Juniors,9.2
Juniors,9.3
Juniors,6.8
Juniors,8.7
Juniors,8.9
Juniors,9.3
Juniors,9.1
Juniors,8.9
Juniors,8.9
Juniors,9.4
Juniors,9.7
Juniors,7.7
Juniors,9.6
Juniors,9
Juniors,6.7
Juniors,9.8
Juniors,8.7
Juniors,7.3
Juniors,6.6
Juniors,9.1
Juniors,9.6
Juniors,9
Juniors,9.6
Juniors,10.2
Juniors,9
Juniors,9.7
Juniors,7.9
Juniors,8.1
Juniors,9.1
Juniors,9.2
Juniors,9.4
Juniors,9
Juniors,8.1
Juniors,7.4
Juniors,9.2
Juniors,9.2
Juniors,7.9
Juniors,8.9
Juniors,8.5
Juniors,8.4
Juniors,8.9
Juniors,7.7
Juniors,8.3
Juniors,7.9
Juniors,8.6
Juniors,8.1
Juniors,9.4
Juniors,6.8
Juniors,8.2
Juniors,8.2
Juniors,9.4
Juniors,9.7
Juniors,9.7
Juniors,8.4
Juniors,9.2
Juniors,9.8
Juniors,8.4
Juniors,10.5
Juniors,10.4
Juniors,9.6
Juniors,8.6
Juniors,7.9
Juniors,9.7
Juniors,9.4
Juniors,8.3
Juniors,10.3
Juniors,10.2
Juniors,9.1
Juniors,7.9
Juniors,9.3
Juniors,8.7
Juniors,9.6
Juniors,9.6
Juniors,10.3
Juniors,9.4
Juniors,8.1
Juniors,8.2
Juniors,7.8
Juniors,10.5
Juniors,8.9
Juniors,8.9
Juniors,9.2
Juniors,10
Juniors,7.5
Juniors,8.3
Juniors,9.4
Juniors,9.5
Juniors,9.4
Juniors,8.4
Juniors,8.6
Juniors,10
Juniors,10.4
Juniors,9
Juniors,8.9
Juniors,8.4
Juniors,9.4
Juniors,9.4
Juniors,10.3
Juniors,8.5
Juniors,10
Juniors,10.5
Juniors,10.5
Juniors,9.6
Juniors,9.4
Juniors,10
Juniors,7.1
Juniors,9.8
Juniors,10.3
Juniors,10.8
Juniors,7.3
Juniors,8.9
Juniors,9.2
Juniors,7.4
Juniors,8.1
Juniors,7.6
Juniors,9.3
Juniors,7.5
Juniors,10.2
Juniors,8
Juniors,10.8
Juniors,8.7
Juniors,10.8
Juniors,8.9
Juniors,9.3
Juniors,10
Juniors,10.6
Juniors,9.3
Juniors,9.4
Juniors,10.7
Juniors,8.8
Juniors,9.8
Juniors,10.9
Juniors,6.6
Juniors,6.8
Juniors,7.5
Juniors,10
Juniors,7.5
Juniors,10.3
Juniors,7.8
Juniors,10
Juniors,8.9
Juniors,10
Juniors,9.4
Juniors,9.4
Juniors,9.3
Seniors,6.5
Seniors,11.6
Seniors,8.3
Seniors,8.9
Seniors,8.2
Seniors,7.3
Seniors,10.1
Seniors,11.9
Seniors,8
Seniors,10.9
Seniors,10
Seniors,7.5
Seniors,6.6
Seniors,11.1
Seniors,5.8
Seniors,7.2
Seniors,12
Seniors,7.6
Seniors,10.9
Seniors,7.4
Seniors,8.6
Seniors,5.6
Seniors,11.1
Seniors,11.8
Seniors,9.8
Seniors,7.5
Seniors,9.9
Seniors,12
Seniors,11.1
Seniors,8.8
Seniors,5.4
Seniors,12.2
Seniors,9
Seniors,10.8
Seniors,7.6
Seniors,11
Seniors,8.6
Seniors,8.8
Seniors,11.7
Seniors,9.9
Seniors,10.8
Seniors,11.8
Seniors,6
Seniors,7
Seniors,10
Seniors,12
Seniors,7.4
Seniors,6.8
Seniors,9.3
Seniors,8.4
Seniors,5.6
Seniors,11.5
Seniors,8.1
Seniors,6.7
Seniors,9.1
Seniors,12.1
Seniors,6.8
Seniors,10.7
Seniors,9.2
Seniors,11.4
Seniors,12
Seniors,6
Seniors,9.1
Seniors,7.1
Seniors,10.7
Seniors,8.8
Seniors,7.6
Seniors,9.7
Seniors,10.5
Seniors,10.3
Seniors,11.3
Seniors,11.6
Seniors,8.9
Seniors,9.6
Seniors,8.5
Seniors,11.1
Seniors,10.6
Seniors,8.5
Seniors,8
Seniors,7.5
Seniors,7.1
Seniors,9.2
Seniors,10.7
Seniors,9.4
Seniors,9.8
Seniors,8.2
Seniors,7.9
Seniors,11.4
Seniors,7.1
Seniors,10.1
Seniors,6.8
Seniors,9.5
Seniors,10.6
Seniors,8.3
Seniors,8.4
Seniors,10.3
Seniors,9.6
Seniors,7.1
Seniors,7.4
Seniors,12
Seniors,9.7
Seniors,10.5
Seniors,7.5
Seniors,7.3
Seniors,6.3
Seniors,12
Seniors,9.4
Seniors,5.9
Seniors,9.5
Seniors,9
Seniors,9.8
Seniors,7.7
Seniors,9.5
Seniors,7.1
Seniors,11.5
Seniors,6.2
Seniors,8.1
Seniors,9.1
Seniors,6.1
Seniors,8.2
Seniors,8.9
Seniors,7.3
Seniors,11.9
Seniors,11.3
Seniors,7.8
Seniors,8.2
Seniors,11.6
Seniors,11.1
Seniors,11.8
Seniors,5.9
Seniors,5.7
Seniors,5.6
Seniors,10.5
Seniors,11.6
Seniors,9.5
Seniors,10.6
Seniors,6.4
Seniors,12.1
Seniors,8.6
Seniors,10
Seniors,10.1
Seniors,10.4
Seniors,6.5
Seniors,7.9
Seniors,8
Seniors,6.9
Seniors,10.3
Seniors,7.5
Seniors,11.3
Seniors,6.2
Seniors,11.5
Seniors,11.4
Seniors,8.5
Seniors,8.7
Seniors,7
Seniors,7.2
Seniors,8.2
Seniors,7.9
Seniors,7.3
Seniors,5.6
Seniors,9.3
Seniors,6.7
Seniors,10.8
Seniors,10.3
Seniors,8.9
Seniors,10
Seniors,12.2
Seniors,6.9
Seniors,6.4
Seniors,10.3
Seniors,6.4
Seniors,8.4
Seniors,8.7
Seniors,12.2
Seniors,7.8
Seniors,8.7
Seniors,9.8
Seniors,6.9
Seniors,6.5
Seniors,10.2
